ClientId,distance,risk_score,risk_level,reason,anomaly,high_amount_flag,high_variance_flag,high_frequency_flag,total_amount,avg_transaction,total_transactions,suspicious
725485,4.874284923518692,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,18.326712144097087,11.797300818999826,685,True
725570,6.708097987102282,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,15.307513506657934,11.415704003830827,49,True
756648,3.891281905174386,4,HIGH,"Anomalous behavior, High transaction variance, High transaction frequency",True,False,True,True,13.94816863185698,12.002263737024483,7,True
739989,4.33186430044558,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.05352484129948,9.553808622182489,665,True
757616,4.239383228536345,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.19586442926208,8.478267439557596,827,True
726925,4.440385573686774,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.950282938791881,9.080343297712487,963,True
716178,83.26460136431288,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,15.455128244845309,13.66336974584906,6,True
740535,4.140064065199123,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,17.715831996319835,11.663751407120154,425,True
711279,4.967932760158745,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,17.875832085269835,12.00372039988798,355,True
646223,16.15486779034963,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.720964632794223,6.2538363115473485,4765,True
684661,4.427643962058235,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.307904501564812,11.230380097033485,59,True
731097,9.314997191246553,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.412426672636858,11.564673627089764,2560,True
731104,7.640602239273821,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.3331502862234,8.61731589967913,2244,True
752285,4.153441767718533,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.314167986546567,7.904794832249771,1652,True
752418,3.9948873071255253,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.637028099029703,8.248727875325367,595,True
752604,5.490856963791751,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.56726165184844,7.226504602772489,1543,True
752918,4.512318733285332,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.244267508518053,9.773524853115788,646,True
753121,4.462746321122335,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,18.721893384512818,12.468068412880172,520,True
740944,4.675631192818252,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.698205104678742,10.276617209578818,615,True
710803,6.806479335396603,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.307213726997983,10.745073634587532,1924,True
729224,4.778809613483736,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.785053394579577,11.999471889518762,885,True
734461,4.33038265645236,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.567163059965232,8.94721978156632,750,True
729953,9.46640232908598,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.952590025954002,12.054556150772347,2692,True
730321,9.406155089472168,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,20.871696089425974,13.022374480513093,2564,True
711128,4.710089543688414,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.278796051033336,9.240986980400239,1139,True
2515861,4.210652565723703,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.94299252936842,11.726394489401859,501,True
2516112,5.11736673277943,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.22970471408955,11.422886283713131,904,True
734946,4.640975726374027,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.067465778563893,10.231242489380245,931,True
735014,5.3688260029185075,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.04179084445314,8.748931700034179,1470,True
735131,3.8731693524729156,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.013865152351734,12.379079739588972,280,True
731484,3.941243142981659,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.852050923605642,7.47298675509748,1603,True
736013,5.509609954440378,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.955418305477806,10.666513907367316,1464,True
729441,4.6216019478724215,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.673680403558679,7.21911415558262,1729,True
729541,4.398580757227589,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.87713317895033,9.3669602094945,672,True
751098,7.200494302216102,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.28273330093188,8.627995205232683,2111,True
